Date,Open,High,Low,Close
07/14/2023,"5.388%","5.404%","5.377%","5.396%"
07/13/2023,"5.391%","5.398%","5.377%","5.388%"
07/12/2023,"5.408%","5.422%","5.386%","5.391%"
07/11/2023,"5.398%","5.418%","5.387%","5.408%"
07/10/2023,"5.360%","5.398%","5.346%","5.398%"
07/07/2023,"5.365%","5.381%","5.355%","5.360%"
07/06/2023,"5.353%","5.381%","5.329%","5.365%"
07/05/2023,"5.306%","5.374%","5.306%","5.353%"
07/04/2023,"5.306%","5.306%","5.306%","5.306%"
07/03/2023,"5.315%","5.332%","5.293%","5.306%"
06/30/2023,"5.343%","5.356%","5.297%","5.315%"
06/29/2023,"5.347%","5.362%","5.286%","5.343%"
06/28/2023,"5.298%","5.347%","5.287%","5.347%"
06/27/2023,"5.254%","5.311%","5.243%","5.298%"
06/26/2023,"5.302%","5.332%","5.254%","5.254%"
06/23/2023,"5.302%","5.304%","5.278%","5.302%"
06/22/2023,"5.214%","5.312%","5.214%","5.302%"
06/21/2023,"5.238%","5.308%","5.214%","5.214%"
06/20/2023,"5.226%","5.243%","5.186%","5.238%"
06/16/2023,"5.221%","5.234%","5.164%","5.226%"
06/15/2023,"5.250%","5.253%","5.205%","5.221%"
06/14/2023,"5.222%","5.263%","5.198%","5.250%"
