Date,Open,High,Low,Close
07/14/2023,"5.274%","5.346%","5.248%","5.324%"
07/13/2023,"5.345%","5.345%","5.261%","5.274%"
07/12/2023,"5.402%","5.421%","5.334%","5.345%"
07/11/2023,"5.400%","5.416%","5.372%","5.402%"
07/10/2023,"5.415%","5.438%","5.389%","5.400%"
07/07/2023,"5.432%","5.454%","5.408%","5.415%"
07/06/2023,"5.406%","5.489%","5.400%","5.432%"
07/05/2023,"5.422%","5.427%","5.398%","5.406%"
07/04/2023,"5.422%","5.422%","5.422%","5.422%"
07/03/2023,"5.417%","5.440%","5.403%","5.422%"
06/30/2023,"5.407%","5.430%","5.390%","5.417%"
06/29/2023,"5.339%","5.433%","5.313%","5.407%"
06/28/2023,"5.323%","5.350%","5.284%","5.339%"
06/27/2023,"5.275%","5.339%","5.258%","5.323%"
06/26/2023,"5.251%","5.283%","5.235%","5.275%"
06/23/2023,"5.277%","5.292%","5.243%","5.251%"
06/22/2023,"5.244%","5.294%","5.215%","5.277%"
06/21/2023,"5.234%","5.273%","5.209%","5.244%"
06/20/2023,"5.223%","5.239%","5.213%","5.234%"
06/16/2023,"5.194%","5.255%","5.190%","5.223%"
06/15/2023,"5.252%","5.289%","5.194%","5.194%"
06/14/2023,"5.237%","5.301%","5.197%","5.252%"
